date,rate_new,rate_old,delta_bp,direction,n_chars,n_words,signal_sentence,url
2023-08-15,12.0,8.5,350,up,1607,224,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=15082023_103000key.htm
2023-09-15,13.0,12.0,100,up,8291,1049,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=15092023_133000key.htm
2023-10-27,15.0,13.0,200,up,9395,1209,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=27102023_133000key.htm
2023-12-15,16.0,15.0,100,up,8655,1116,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=15122023_133000key.htm
2024-02-16,16.0,16.0,0,hold,4043,515,,https://www.cbr.ru/press/pr/?file=16022024_133000key.htm
2024-03-22,16.0,16.0,0,hold,3997,493,,https://www.cbr.ru/press/pr/?file=22032024_133000key.htm
2024-04-26,16.0,16.0,0,hold,4047,512,,https://www.cbr.ru/press/pr/?file=26042024_133000key.htm
2024-06-07,16.0,16.0,0,hold,4544,593,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.,https://www.cbr.ru/press/pr/?file=07062024_133000key.htm
2024-07-26,18.0,16.0,200,up,4362,567,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.,https://www.cbr.ru/press/pr/?file=26072024_133000key.htm
2024-09-13,19.0,18.0,100,up,4979,620,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.,https://www.cbr.ru/press/pr/?file=13092024_133000key.htm
2024-10-25,21.0,19.0,200,up,4516,562,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.,https://www.cbr.ru/press/pr/?file=25102024_133000key.htm
2024-12-20,21.0,21.0,0,hold,5281,660,Банк России будет оценивать целесообразность повышения ключевой ставки на ближайшем заседании с учетом дальнейшей динамики кредитования и инфляции.,https://www.cbr.ru/press/pr/?file=20122024_133000key.htm
2025-02-14,21.0,21.0,0,hold,5154,659,Банк России будет оценивать целесообразность повышения ключевой ставки на ближайшем заседании с учетом скорости и устойчивости снижения инфляции.,https://www.cbr.ru/press/pr/?file=14022025_133000key.htm
2025-03-21,21.0,21.0,0,hold,5183,658,Банк России продолжит анализировать скорость и устойчивость снижения инфляции и инфляционных ожиданий.,https://www.cbr.ru/press/pr/?file=21032025_133000key.htm
2025-04-25,21.0,21.0,0,hold,4714,603,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году.",https://www.cbr.ru/press/pr/?file=25042025_133000key.htm
2025-06-06,20.0,21.0,-100,down,4522,572,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году.",https://www.cbr.ru/press/pr/?file=06062025_133000key.htm
2025-07-25,18.0,20.0,-200,down,5014,627,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году.",https://www.cbr.ru/press/pr/?file=25072025_133000key.htm
2025-09-12,17.0,18.0,-100,down,4626,586,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году.",https://www.cbr.ru/press/pr/?file=12092025_133000key.htm
2025-10-24,16.5,17.0,-50,down,5159,655,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели.",https://www.cbr.ru/press/pr/?file=24102025_133000key.htm
2025-12-19,16.5,16.5,0,hold,4265,531,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели.",https://www.cbr.ru/press/pr/?file=19122025_133000key.htm
2026-02-13,16.0,16.5,-50,down,5108,673,Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции и динамики инфляционных ожиданий.,https://www.cbr.ru/press/pr/?file=13022026_133000key.htm
2026-03-20,15.5,16.0,-50,down,3632,469,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий.",https://www.cbr.ru/press/pr/?file=20032026_133000key.htm
2026-04-24,14.5,15.5,-100,down,4297,563,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий.",https://www.cbr.ru/press/pr/?file=24042026_133000key.htm
2026-06-19,14.25,14.5,-25,down,3970,519,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внутренних и внешних условий.",https://www.cbr.ru/press/pr/?file=19062026_133000key.htm
2026-07-24,14.0,14.25,-25,down,4980,656,"Банк России будет принимать дальнейшие решения по ключевой ставке в зависимости от динамики инфляции и инфляционных ожиданий, а также от оценки рисков со стороны внутренних и внешних условий.",https://www.cbr.ru/press/pr/?file=24072026_133000key.htm
