date,direction_actual,delta_bp,rate_new,n_fg_candidates,modality,modality_weight,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,hedges,cond_count,conditionals,nominalization_ratio,finite_verbs,verbal_nouns,commitment,hardness_v2,stance,n_words,signal_core
2022-12-16,hold,0,7.5,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,894,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2023-02-10,hold,0,7.5,4,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,959,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2023-03-17,hold,0,7.5,4,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,927,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной переcтройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2023-04-28,hold,0,7.5,4,delayed_evaluation,0.35,up,none,0,1,0,0,1,постепенного,0,,0.75,2,6,0.304,0.304,0.213,1116,В условиях постепенного увеличения текущего инфляционного давления Банк России на ближайших заседаниях будет оценивать целесообразность повышения ключевой ставки для стабилизации инфляции вблизи 4% в 2024 году и далее.
2023-06-09,hold,0,7.5,4,possibility,0.55,up,none,0,1,0,0,1,постепенного,0,,0.857,1,6,0.477,0.477,0.334,1019,В условиях постепенного увеличения текущего инфляционного давления Банк России допускает возможность повышения ключевой ставки на ближайших заседаниях для стабилизации инфляции вблизи 4% в 2024 году и далее.
2023-07-21,up,100,8.5,4,possibility,0.55,up,none,0,1,0,0,0,,0,,0.8,1,4,0.582,0.582,0.407,998,Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях для стабилизации инфляции вблизи 4% в 2024 году и далее.
2023-08-15,up,350,12.0,1,intention_generic,0.25,none,none,1,1,0,0,0,,2,с учетом|с учетом,0.333,2,1,0.19,0.0,0.0,224,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2023-09-15,up,100,13.0,6,delayed_evaluation,0.35,up,none,0,1,0,0,0,,0,,0.6,2,3,0.402,0.402,0.281,1049,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2023-10-27,up,200,15.0,4,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,1209,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2023-12-15,up,100,16.0,4,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,1116,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2024-02-16,hold,0,16.0,1,,0.0,none,tight,0,0,0,0,0,,0,,0.75,1,3,0.0,0.0,0.0,515,Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике.
2024-03-22,hold,0,16.0,1,,0.0,none,tight,0,0,0,0,0,,0,,0.75,1,3,0.0,0.0,0.0,493,Возвращение инфляции к цели в 2024 году и ее дальнейшая стабилизация вблизи 4% предполагают продолжительный период поддержания жестких денежно-кредитных условий в экономике.
2024-04-26,hold,0,16.0,1,,0.0,none,tight,0,0,0,0,0,,1,В базовом сценари,0.6,2,3,0.0,0.0,0.0,512,"Возвращение инфляции к цели и ее дальнейшая стабилизация вблизи 4% предполагают более продолжительный период поддержания жестких денежно-кредитных условий в экономике, чем прогнозировалось ранее."
2024-06-07,hold,0,16.0,2,possibility,0.55,up,none,0,1,0,0,0,,0,,0.75,1,3,0.582,0.582,0.407,593,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.
2024-07-26,up,200,18.0,1,delayed_evaluation,0.35,up,none,0,1,0,0,0,,0,,0.6,2,3,0.402,0.402,0.281,567,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2024-09-13,up,100,19.0,1,possibility,0.55,up,none,0,1,0,0,0,,1,с учетом,0.75,1,3,0.419,0.419,0.293,620,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.
2024-10-25,up,200,21.0,1,possibility,0.55,up,none,0,1,0,0,0,,1,с учетом,0.75,1,3,0.419,0.419,0.293,562,Банк России допускает возможность повышения ключевой ставки на ближайшем заседании.
2024-12-20,hold,0,21.0,1,delayed_evaluation,0.35,up,none,0,1,0,0,0,,2,с учетом|с учетом,0.667,2,4,0.244,0.244,0.171,660,Банк России будет оценивать целесообразность повышения ключевой ставки на ближайшем заседании с учетом дальнейшей динамики кредитования и инфляции.
2025-02-14,hold,0,21.0,2,delayed_evaluation,0.35,up,none,0,1,0,0,0,,2,с учетом|В базовом сценари,0.75,2,6,0.244,0.244,0.171,659,Банк России будет оценивать целесообразность повышения ключевой ставки на ближайшем заседании с учетом скорости и устойчивости снижения инфляции.
2025-03-21,hold,0,21.0,3,,0.0,none,none,0,1,0,0,0,,1,Если,0.667,2,4,0.0,0.0,0.0,658,Банк России продолжит анализировать скорость и устойчивость снижения инфляции и инфляционных ожиданий.
2025-04-25,hold,0,21.0,2,intention_directed,0.7,hold,tight,0,1,0,0,0,,0,,0.5,2,2,0.805,0.0,0.241,603,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
